ID_SALES,negative,neutral,positive
HD165A,1,1,1
HD1663A,0,2,1
HD1667A,2,1,0
HD1668A,0,2,1
HD1675A,1,0,2
HD1677A,2,0,1
HD1678A,0,0,3
HD167T,0,1,3
HD1680A,1,2,0
HD1681T,1,1,1
HD1685T,1,0,2
HD1686A,1,0,2
HD1688A,1,0,2
HD1693A,0,2,1
HD1694A,1,0,2
HD1696A,2,1,0
HD1703A,0,2,1
HD1705A,0,0,3
HD1706T,1,1,1
HD1707A,0,0,3
HD1708A,0,0,3
HD1709A,0,1,2
HD170A,1,0,2
HD1710A,2,1,0
HD1711T,1,2,0
HD1714A,0,2,1
HD1716A,0,1,2
HD1718A,2,0,1
HD171A,1,2,0
HD1721A,0,0,3
HD1726A,1,0,3
HD1727A,0,0,3
HD1729T,0,0,3
HD1733A,1,0,2
HD1737A,0,0,3
HD1738T,1,2,0
HD173A,2,0,2
HD1743A,0,1,2
HD1744A,1,0,2
HD1746T,0,3,0
HD1748A,2,0,1
HD1749A,0,1,2
HD174T,0,0,3
HD1751A,0,2,1
HD1755A,1,2,0
HD1761A,1,1,1
HD1762A,2,1,0
HD1763A,1,2,0
HD1764A,0,1,2
HD1767T,1,1,1
HD1768A,1,1,2
HD1770A,2,1,1
HD1771A,1,2,0
HD1775A,2,0,1
HD1776A,3,0,0
HD1779A,2,0,1
HD1781A,1,1,1
HD1783A,1,0,2
HD1784A,1,1,1
HD1785A,0,1,2
HD1787A,0,0,3
HD1791A,0,3,0
HD1794A,0,2,1
HD1795A,0,0,3
HD1799A,0,0,3
HD1800A,0,3,0
HD1803T,0,1,2
HD1804A,1,2,0
HD1805A,0,1,2
HD1806A,1,1,1
HD1808A,0,3,0
HD1809A,1,0,2
HD180T,0,1,2
HD1810A,0,2,1
HD1811A,1,2,0
HD1812A,1,0,2
HD1813A,1,1,1
HD1814A,0,1,2
HD1816A,1,2,0
HD1817A,2,1,0
HD1818A,2,1,0
HD1819A,0,1,2
